"idx","topic_title","topic_content","topic_reply_main","topic_reply_re"
26,gridView filter기능 문의3,"<< 개요 >>

gridView의 useFilter기능을 이용해서 header에 필터를 추가하였습니다. 
필터기능을 이용하면서 구현하고 싶은 기능이 있는데 혹시 웹스퀘어에서 가능한지 여쭤봅니다.

filter버튼을 눌러 filtering을 하기전에 confirm창을 띄우고 confirm창에서 확인버튼을 눌렀을 경우에만 filter를 걸고싶습니다.
datalist에 있는 onbeforecolumnfilter를 이용해서 비슷하게 구현하려 했지만 setColumnFilter함수를 호출했을 때도 해당 이벤트가 실행되어 원하는대로 구현되지 않았습니다. 혹시 이와같은 기능을 웹스퀘어로 구현하려면 어떻게 해야할지 문의드립니다.



<< 재현 방법 >>

1. header에 있는 filter 버튼을 누른다.
2. filter를 실행하기 전에 confirm창이 뜬다.
3. confirm창에서 확인버튼을 눌렀을 때만 filter가 실행된다.



","안녕하세요.

말씀하신 부분을 구현하기 위해서는 gridView 이벤트인 onheaderclick 함수를 이용하시면 됩니다.
설정하신 useFilter, useFilterList 속성을 전부 false로 주신 후 onheaderclick 함수안에 동적으로 아래와 같이 주시면 됩니다.

scwin.grid1_onheaderclick = function(headerId) {
    confirm(""클릭"");
   
    grid1.setUseFilterList(true);
    grid1.setUseFilter( ""header0"",true )
};

감사합니다.답변해주셔서 감사합니다.

알려주신 방법대로 구현해보았으나 제가 원하는 방식과는 조금 다르게 작동하는 것 같습니다.
onheaderclick 함수에 동적으로 useFilter와 useFilterList 속성을 주니까 filter 기능을 추가할지 말지 자체는 동적으로 잘 작동합니다.

하지만 제가 원했던 동작은
1. 필터버튼을 클릭해 하단에 필터링 할 수 있는 창이 나타나고,
2. 하단에 뜨는 리스트 중 하나의 체크박스를 선택한 후
3. 실제로 datalist에 필터링이 되기 전에 confirm창을 띄워 확인 버튼을 클릭했을 경우에만 필터를 적용하고 싶습니다.

혹시 이와같은 동작은 어떻게 구현해야 할까요??

감사합니다.
 ",""
27,gridview 질문입니다3,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

컬럼 property에 defaultValue 설정시 값이 선택 되지 않음

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)

사용 여부와, 작업 공장의 설정 및 defaultValue 입력값 설정입니다.



사용여부 컬럼 USE_YN은 validate 하였습니다


다음과 같은 설정일때 저장을 실행하면
등록시 새로 입력된 row에 label은 매칭되지만
사용여부(USE_YN) 은 값이 입력되지 않았다고 출력 되고  
실제로 데이터리스트를 콘솔에 찍어보면 값이 입력 되지 않습니다



방법을 찾아보니 setColumnDefaultValue()을 이용하면 되긴 되는데
property에서 설정하는 방법은 없을까요?
","안녕하세요.

gridView defaultValue 속성은 실제 데이터에 들어가지않고 보여지기만 하고있습니다.
dataList 해당 컬럼 defaultValue 속성에 입력하여 사용하시면 될 것 같습니다.

감사합니다.",""
28,gridview의 setColumnVisibleColumn api 질문4,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

해당 api를 사용하는데 
감추려는 컬럼을 3줄로 입력하였는데 마지막 줄만 적용이 됐습니다
인덱스가 0-5 인데 
여러건을 감출수는 없나요?

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

gridView setColumnVisibleColumn(); API 관련하여 테스트 파일 첨부드립니다.
inputType=""select""에 바인딩 된 dataList type 컬럼 true인 값들을 visible 처리한 테스트 파일입니다.

확인부탁드립니다.
감사합니다.",""
29,[gridView] groupBy() 후 엑셀 다운로드1,"<< 개요 >>
gridView에서 groupBy()후 해당 그리드데이터를 엑셀 다운로드시 무한로딩 or 무반응




<< 재현 방법 >>
1) 검색조건의 물품별합계, 창고별합계 선택 - scwin.chk_onchange()
2) 엑셀버튼 클릭하여 엑셀다운로드 - scwin.fExcelDown()




","안녕하십니까!

그리드 groupby시 엑셀 다운로드를 할때는
옵션에 groupby=''true' 를 추가해 주시면 될거 같습니다.

-------------------------------------------------------------
  var options = {};
  options.fileName = ""excelData.xlsx"";
  //그리드 그룹바이 옵션 추가
  options.groupby = ""true"";
  
  gridView1.advancedExcelDownload( options );
-------------------------------------------------------------

소스상에서 공통함수 ef.gridDataDownLoad 함수 안에서 추가해 주신 
groupby 옵션이 잘 셋팅이 되는지 확인을 해보시기 바랍니다.

그리고 groupby 옵션도 이상이 없는지 확인해 보시면 될거 같습니다.

간단한 테스트 샘플을 첨부 전달드립니다.

감사합니다.


감사합니다.
 ",""
30,DataList 데이터를 Gridview로 보여줄 때 행과 열 변경하는 방법 문의3,"<< 개요 >>

간단하게 예시를 하나 들겠습니다.
[
    {'id': 'testID1', name: 'testName1', cont1: 'testCont1-1', cont2: 'testCont2-1'},
    {'id': 'testID2', name: 'testName2', cont1: 'testCont1-2', cont2: 'testCont2-2'},
    {'id': 'testID3', name: 'testName3', cont1: 'testCont1-3', cont2: 'testCont2-3'},
    {'id': 'testID4', name: 'testName4', cont1: 'testCont1-4', cont2: 'testCont2-4'},
    {'id': 'testID5', name: 'testName5', cont1: 'testCont1-5', cont2: 'testCont2-5'},
    {'id': 'testID6', name: 'testName6', cont1: 'testCont1-6', cont2: 'testCont2-6'},
]

이런 데이터를 DataList에 담았습니다.
그리고 저는 gridview로 이렇게 그리고 싶습니다.
    testName1 testName2 testName3 testName4 testName5 testName6
ID testID1 testID2 testID3 testID4 testID5 testID6
CONT1 testCont1-1 testCont1-2 testCont1-3 testCont1-4 testCont1-5 testCont1-6
CONT2 testCont2-1 testCont2-2 testCont2-3 testCont2-4 testCont2-5 testCont2-6

일반적인 gridview로 datalist에 세팅 후 그릴 때는 위쪽 header엔 해당datalist의 key가 세팅되어 row단위로 데이터가 세팅되는데 전 컬럼 단위로 세팅되게 하고 싶습니다.

방법이 있다면 알려주셨으면 합니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

말씀해주신 컬럼 단위로 설정하는 방법은 지원하지않습니다.

감사합니다.",""
31,gridView fixedColumn 문의1,"<< 개요 >>

gridView 에 바인딩하는 10개의 컬럼중 앞에 3개의 컬럼과 뒤에 3개의 컬럼을 고정하고 싶은데 방법이 있는지 문의 드립니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

해당 gridView에 fixedColumn, fixedRightColumn 속성을 설정해주시면 됩니다.

// 속성 설정 예시
<w2:gridView fixedColumn=""3"" fixedRightColumn=""3"" ....

추가로 프로젝트명 기입 부탁드립니다.
감사합니다.",""
32,gridview 헤더에 filter 변경 시 이벤트 캐치 방법1,"<< 개요 >>

안녕하세요. 

gridview 에서 useflterlist를 이용해서 헤더에 filter를 사용하고 있습니다. 

현재 그리드에 조회된 총 개수를 보여주고 있는데....

이 필터가 바뀌면 바뀌었다는 이벤트를 캐치하여 그때 다시 그리드에 조회된 개수를 변경해주고 싶은데....

이 필터가 변경되었다 는걸 어떻게 캐치할 수 잇을까요? 이벤트 목록에 따로 없는거 같아서..여쭤봅니다



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.
gridView에 header Filter를 제어하는 이벤트는 현재 지원하지 않으므로, 
필터가 적용되어 dataList의 값이 변경되는 것을 체크하는 로직으로 구현하시면 될듯합니다.
dataList의 onbeforecolumnfilterchange 이벤트를 사용해보시기 바랍니다.

감사합니다.",""
33,gridview 내부 escape 옵션문의3,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
gridview 내부 inputType이 textImage인 경우
escape  = true 옵션이 적용이 안되는듯 합니다.


입력하면서 포커스시 <PE> 제대로 표기되지만

입력 후에는  <PE> 부분이 태그로 변경되어 사라집니다

다시 선택하면 <PE>부분은 글자로 표기됩니다

버그인지 제가 잘못 사용하고 있는건지 궁금합니다

inputType이 TEXT나 다른타입의 경우  escape  = true 작동 잘 됩니다.

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.
type이 textImage인 경우 escape=""True""가 적용되지 않는 것을 확인했습니다.
해당 기능은 22년 7월 이후 엔진에서 개선되었으며, 요청 시 최신 엔진 전달드리도록 하겠습니다.",""
34,"GridView 셀값이 ""0""->""""로 변경될 때 rowStatus가 변경되지 않는 문제2","<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

GridView 셀의 값이 0인 상태에서 0을 지우고 빈 셀로 만들면 rowStatus가 'U'로 변경되지 않고 'R'로 유지되는 현상이 있습니다.
1. DataList 컬럼의 ignoreStatus = false인 상태
2. DataList 컬럼의 dataType = text, GridView의 셀 property에서 dataType = text인 경우
3. DataList 컬럼의 dataType = number, GridView의 셀 property에서 dataType = number인 경우
1~3의 조건에서 동일한 현상이 발생합니다.
셀의 값이 ""0"" -> """"으로 변경됐지만 rowStatus가 변경되지 않아 변경값의 유효성 체크에 어려움이 있는데
이 경우 rowStatus가 변경되지 않는 건 의도적인 건가요? 별도의 체크 로직을 작성해야 할지 아니면 다른 property 등 설정값 변경으로 해결할 수 있는지 문의드립니다.




<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하십니까!

해당버전에서 테스트 결과 이상이 없어보입니다.
테스트한 샘플 파일을 첨부하니 테스트 해 보시기 바랍니다.

1. 그리드 셀의 값을 0 으로 셋팅
2. 그리드 셀의 값 0 을 삭제 """" 스트링으로 변경
3. 해당 행의 상태가 U로 변경됨

테스트 방법이 틀리거나 추가 문의 사항이 있으면 회신부탁드립니다.
감사합니다.샘플파일이 첨부가 안되서 텍스트로 답변 드립니다.
-------------------------------------------------------------------

<w2:dataCollection baseNode=""map"">
                <w2:dataList baseNode=""list"" repeatNode=""map"" id=""dataList1"" saveRemovedData=""true"">
                    <w2:columnInfo>
                        <w2:column id=""col1"" name=""name1"" dataType=""text"" ignoreStatus=""false""></w2:column>
                        <w2:column id=""col2"" name=""name2"" dataType=""number"" ignoreStatus=""false""></w2:column>
                        <w2:column id=""col3"" name=""name3"" dataType=""text""></w2:column>
                    </w2:columnInfo>
                    <w2:data use=""true"">
                        <w2:row>
                            <col1><![CDATA[0]]></col1>
                            <col2><![CDATA[0]]></col2>
                        </w2:row>
                        <w2:row>
                            <col2><![CDATA[0]]></col2>
                            <col1><![CDATA[0]]></col1>
                        </w2:row>
                        <w2:row></w2:row>
                    </w2:data>
                </w2:dataList>
            </w2:dataCollection>

<w2:gridView id="""" ignoreToggleOnDisabled=""false"" useShiftKey=""true""
            style=""position: absolute ;left: 66px;top: 77px;width: 617px;height: 278px;"" useFilterList=""false"" scrollByColumn=""false""
            showSortableUseFilter=""false"" scrollByColumnAdaptive=""false"" summaryAuto=""false"" fixedColumnWithHidden=""true"" summaryOnlyAuto=""false""
            dataList=""dataList1"" ignoreCellClick=""false"" rowStatusVisible=""true"" rowStatusHeaderValue=""상태"">
            <w2:caption style="""" id=""caption1"" value=""this is a grid caption.""></w2:caption>
            <w2:header style="""" id=""header1"">
                <w2:row style="""" id=""row1"">
                    <w2:column width=""70"" inputType=""text"" style=""height:20px;"" id=""column5"" blockSelect=""false"" displayMode=""label""
                        value=""text"">
                    </w2:column>
                    <w2:column width=""70"" inputType=""text"" style=""height:20px;"" id=""column3"" blockSelect=""false"" displayMode=""label""
                        value=""number"">
                    </w2:column>
                    <w2:column width=""70"" inputType=""text"" style=""height:20px;"" id=""column1"" blockSelect=""false"" displayMode=""label""
                        value=""name3"">
                    </w2:column>
                </w2:row>
            </w2:header>
            <w2:gBody style="""" id=""gBody1"">
                <w2:row style="""" id=""row2"">
                    <w2:column width=""70"" inputType=""text"" style=""height:20px"" id=""col1"" blockSelect=""false"" displayMode=""label"" dataType=""text""></w2:column>
                    <w2:column width=""70"" inputType=""text"" style=""height:20px"" id=""col2"" blockSelect=""false"" displayMode=""label"" dataType=""number""></w2:column>
                    <w2:column width=""70"" inputType=""text"" style=""height:20px"" id=""col3"" blockSelect=""false"" displayMode=""label""></w2:column>
                </w2:row>
            </w2:gBody>
        </w2:gridView>



-------------------------------------------------------------------",""
35,gridview header 전체선택 로직 문의1,"<< 개요 >>

gridview header 컬럼의 inputType을 checkbox로 설정해 전체선택을 할 수 있도록 개발중에 있습니다.

gridview를 이용해 개발을 하다보면 로직상 전체선택을 막아야 하는 경우가 있습니다. (ex. 특정 column값이 비어있는 경우)
클릭 이벤트의 반환값으로 이벤트 객체가 넘어오는 경우 preventDefault 함수를 이용해 특정 이벤트를 막는 것으로 알고 있지만, onheaderclick의 반환값으로 headerId만 넘어와 preventDefault 함수를 쓸 수 없어 특정 조건의 경우 전체선택을 막는 기능을 어떻게 구현해야 할지 잘 모르겠습니다.

혹시 웹스퀘어에서 header의 checkbox를 이용해 전체선택을 하는 경우, checkbox를 클릭했을 때 전체선택을 막을 수 있는 방법이 있을까요?
( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )



<< 재현 방법 >>

[원하는 기능]
1. header의 checkbox를 클릭해 gridview 데이터 전체 선택을 시도한다.
2. 조건에 따라 전체선택이 가능한 경우와 불가능한 경우 로직을 분기한다.
2-1: 전체선택이 가능한 경우
- 기존 로직과 동일하게 전체선택이 된다.
2-2: 전체선택이 가능하지 않은 경우(ex. gridview에 바인딩 된 datalist를 확인해 특정 컬럼에 값이 없는 경우)
- 전체선택을 막는다.

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

checkbox 컬럼에 true 값을 체크하여 true 값이 있는 경우, setHeaderDisabled(); true 적용한 테스트 파일 첨부드립니다.
테스트 파일 확인부탁드립니다.

감사합니다.",""
